NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,439mb,10m,95k,39,9m,15.249,2533.962
1,1g,439mb,10m,95k,64,200k,23.698,2532.666
1,1g,439mb,10m,95k,64,9m,23.723,2474.653
1,1g,439mb,10m,95k,88,200k,30.976,2543.757
1,1g,439mb,10m,95k,88,9m,31.146,2532.173
1,1g,439mb,10m,132k,14,200k,7.670,1795.340
1,1g,439mb,10m,132k,14,9m,7.403,1841.677
1,1g,439mb,10m,132k,39,200k,20.672,1798.961
1,1g,439mb,10m,132k,39,9m,19.664,1845.378
1,1g,439mb,10m,132k,64,200k,31.105,1847.540
1,1g,439mb,10m,132k,64,9m,31.860,1842.176
1,1g,439mb,10m,132k,88,200k,40.258,1842.398
1,1g,439mb,10m,132k,88,9m,39.696,1843.089
1,1g,439mb,1g,20k,14,200k,2.181,6309.388
1,1g,439mb,1g,20k,14,9m,4.795,2728.125
1,1g,439mb,1g,20k,39,200k,10.170,3833.391
1,1g,439mb,1g,20k,39,9m,9.058,4298.882
1,1g,439mb,1g,20k,64,200k,14.847,4308.746
1,1g,439mb,1g,20k,64,9m,14.571,4381.596
1,1g,439mb,1g,20k,88,200k,19.894,4421.332
1,1g,439mb,1g,20k,88,9m,12.057,7283.378
1,1g,439mb,1g,58k,14,200k,5.396,2564.771
1,1g,439mb,1g,58k,14,9m,5.417,2552.456
1,1g,439mb,1g,58k,39,200k,14.585,2518.833
1,1g,439mb,1g,58k,39,9m,14.682,2543.384
1,1g,439mb,1g,58k,64,200k,23.570,2519.739
1,1g,439mb,1g,58k,64,9m,24.287,2395.760
1,1g,439mb,1g,58k,88,200k,31.446,2516.878
1,1g,439mb,1g,58k,88,9m,32.580,2513.600
1,1g,439mb,1g,95k,14,200k,8.461,1612.387
1,1g,439mb,1g,95k,14,9m,8.868,1566.958
1,1g,439mb,1g,95k,39,200k,22.145,1593.845
1,1g,439mb,1g,95k,39,9m,22.569,1579.267
1,1g,439mb,1g,95k,64,200k,37.603,1582.812
1,1g,439mb,1g,95k,64,9m,38.439,1524.777
1,1g,439mb,1g,95k,88,200k,48.874,1575.473
1,1g,439mb,1g,95k,88,9m,47.244,1588.099
1,1g,439mb,1g,132k,14,200k,11.820,1114.824
1,1g,439mb,1g,132k,14,9m,11.879,1167.042
1,1g,439mb,1g,132k,39,200k,30.167,1173.438
1,1g,439mb,1g,132k,39,9m,29.146,1177.672
1,1g,439mb,1g,132k,64,200k,48.004,1110.777
1,1g,439mb,1g,132k,64,9m,47.841,1126.908
1,1g,439mb,1g,132k,88,200k,62.901,1105.213
1,1g,439mb,1g,132k,88,9m,66.916,1114.159
1,1g,72mb,10m,20k,14,200k,3.993,3503.449
1,1g,72mb,10m,20k,14,9m,3.888,3595.647
1,1g,72mb,10m,20k,39,200k,10.839,3594.632
